Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
USA,1/1/2002,12/31/2004,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,114.3,E,
USA,1/1/2003,12/31/2005,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,114.7,E,
USA,1/1/2004,12/31/2006,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,114.7,E,
USA,1/1/2005,12/31/2007,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,114.3,E,
USA,1/1/2006,12/31/2008,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,113.3,E,
USA,1/1/2007,12/31/2009,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,112,E,
USA,1/1/2008,12/31/2010,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,110.7,E,
USA,1/1/2009,12/31/2011,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,109.3,E,
USA,1/1/2010,12/31/2012,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,109,E,
USA,1/1/2011,12/31/2013,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,108.7,E,
USA,1/1/2012,12/31/2014,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,109.3,E,
USA,1/1/2013,12/31/2015,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,110,E,
USA,1/1/2014,12/31/2016,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,111,E,
USA,1/1/2015,12/31/2017,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,112,E,
USA,1/1/2016,12/31/2018,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,113.3,E,
USA,1/1/2017,12/31/2019,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,114.7,E,
USA,1/1/2018,12/31/2020,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,116.3,E,
USA,1/1/2000,12/31/2002,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,72.7,E,
USA,1/1/2001,12/31/2003,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,73.3,E,
USA,1/1/2002,12/31/2004,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,74,E,
USA,1/1/2003,12/31/2005,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,74,E,
USA,1/1/2004,12/31/2006,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,74,E,
USA,1/1/2005,12/31/2007,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,73.7,E,
USA,1/1/2006,12/31/2008,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,73,E,
USA,1/1/2007,12/31/2009,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,72,E,
USA,1/1/2008,12/31/2010,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,71,E,
USA,1/1/2009,12/31/2011,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,70,E,
USA,1/1/2010,12/31/2012,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,69.3,E,
USA,1/1/2011,12/31/2013,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,69,E,
USA,1/1/2012,12/31/2014,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,69.3,E,
USA,1/1/2013,12/31/2015,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,70,E,
USA,1/1/2014,12/31/2016,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,71,E,
USA,1/1/2015,12/31/2017,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,72,E,
USA,1/1/2016,12/31/2018,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,73,E,
USA,1/1/2017,12/31/2019,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,74.3,E,
USA,1/1/2018,12/31/2020,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,75.3,E,
USA,1/1/2000,12/31/2000,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2000,2000,km,2,X,
USA,1/1/2001,12/31/2001,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2001,2001,km,2,X,
USA,1/1/2002,12/31/2002,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2002,2002,km,2.1,X,
USA,1/1/2003,12/31/2003,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2003,2003,km,2,X,
USA,1/1/2004,12/31/2004,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2004,2004,km,2,X,
USA,1/1/2005,12/31/2005,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2005,2005,km,2,X,
USA,1/1/2006,12/31/2006,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2006,2006,km,2,X,
USA,1/1/2007,12/31/2007,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2007,2007,km,2,X,
USA,1/1/2008,12/31/2008,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2008,2008,km,2,X,
USA,1/1/2009,12/31/2009,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2009,2009,km,2,X,
USA,1/1/2010,12/31/2010,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2010,2010,km,2,X,
USA,1/1/2011,12/31/2011,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2011,2011,km,2,X,
USA,1/1/2012,12/31/2012,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2012,2012,km,1.6,X,
USA,1/1/2013,12/31/2013,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2013,2013,km,1.6,X,
USA,1/1/2014,12/31/2014,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2014,2014,km,1.6,X,
USA,1/1/2015,12/31/2015,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2015,2015,km,1.5,X,
USA,1/1/2016,12/31/2016,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2016,2016,km,1.5,X,
USA,1/1/2017,12/31/2017,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2017,2017,km,1.5,X,
USA,1/1/2018,12/31/2018,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2018,2018,km,1.5,X,
USA,1/1/2019,12/31/2019,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2019,2019,km,1.5,X,
USA,1/1/2020,12/31/2020,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2020,2020,km,1.5,X,
USA,1/1/2000,12/31/2000,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2000,2000,I$,50175.7,X,
USA,1/1/2001,12/31/2001,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2001,2001,I$,50155.7,X,
USA,1/1/2002,12/31/2002,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2002,2002,I$,50535.3,X,
USA,1/1/2003,12/31/2003,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2003,2003,I$,51503.8,X,
USA,1/1/2004,12/31/2004,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2004,2004,I$,52995.2,X,
USA,1/1/2005,12/31/2005,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2005,2005,I$,54338,X,
USA,1/1/2006,12/31/2006,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2006,2006,I$,55314.2,X,
USA,1/1/2007,12/31/2007,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2007,2007,I$,55892.2,X,
USA,1/1/2008,12/31/2008,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2008,2008,I$,55433.7,X,
USA,1/1/2009,12/31/2009,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2009,2009,I$,53521.2,X,
USA,1/1/2010,12/31/2010,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2010,2010,I$,54516.9,X,
USA,1/1/2011,12/31/2011,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2011,2011,I$,54960.9,X,
USA,1/1/2012,12/31/2012,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2012,2012,I$,55803.5,X,
USA,1/1/2013,12/31/2013,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2013,2013,I$,56438.9,X,
USA,1/1/2014,12/31/2014,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2014,2014,I$,57308.3,X,
USA,1/1/2015,12/31/2015,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2015,2015,I$,58427.6,X,
USA,1/1/2016,12/31/2016,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2016,2016,I$,58972.9,X,
USA,1/1/2017,12/31/2017,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2017,2017,I$,59914.8,X,
USA,1/1/2018,12/31/2018,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2018,2018,I$,61355.6,X,
USA,1/1/2019,12/31/2019,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2019,2019,I$,62478.3,X,
USA,1/1/2020,12/31/2020,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2020,2020,I$,60167.9,X,
USA,1/1/2021,12/31/2021,231,'840,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2021,2021,I$,63669.7,X,
USA,1/1/2000,12/31/2002,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20002002,2002,%,<2.5,E,
USA,1/1/2001,12/31/2003,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20012003,2003,%,<2.5,E,
USA,1/1/2002,12/31/2004,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20022004,2004,%,<2.5,E,
USA,1/1/2003,12/31/2005,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20032005,2005,%,<2.5,E,
USA,1/1/2004,12/31/2006,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20042006,2006,%,<2.5,E,
USA,1/1/2005,12/31/2007,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20052007,2007,%,<2.5,E,
USA,1/1/2006,12/31/2008,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20062008,2008,%,<2.5,E,
USA,1/1/2007,12/31/2009,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20072009,2009,%,<2.5,E,
USA,1/1/2008,12/31/2010,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20082010,2010,%,<2.5,E,
USA,1/1/2009,12/31/2011,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20092011,2011,%,<2.5,E,
USA,1/1/2010,12/31/2012,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20102012,2012,%,<2.5,E,
USA,1/1/2011,12/31/2013,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20112013,2013,%,<2.5,E,
USA,1/1/2012,12/31/2014,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20122014,2014,%,<2.5,E,
USA,1/1/2013,12/31/2015,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20132015,2015,%,<2.5,E,
USA,1/1/2014,12/31/2016,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20142016,2016,%,<2.5,E,
USA,1/1/2015,12/31/2017,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20152017,2017,%,<2.5,E,
USA,1/1/2016,12/31/2018,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20162018,2018,%,<2.5,E,
USA,1/1/2017,12/31/2019,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20172019,2019,%,<2.5,E,
USA,1/1/2018,12/31/2020,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20182020,2020,%,<2.5,E,
USA,1/1/2019,12/31/2021,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20192021,2021,%,<2.5,E,
USA,1/1/2020,12/31/2022,231,'840,United States of America,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20202022,2022,%,<2.5,E,
USA,1/1/2000,12/31/2002,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20002002,2002,million No,,Q,
USA,1/1/2001,12/31/2003,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20012003,2003,million No,,Q,
USA,1/1/2002,12/31/2004,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20022004,2004,million No,,Q,
USA,1/1/2003,12/31/2005,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20032005,2005,million No,,Q,
USA,1/1/2004,12/31/2006,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20042006,2006,million No,,Q,
USA,1/1/2005,12/31/2007,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20052007,2007,million No,,Q,
USA,1/1/2006,12/31/2008,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20062008,2008,million No,,Q,
USA,1/1/2007,12/31/2009,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20072009,2009,million No,,Q,
USA,1/1/2008,12/31/2010,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20082010,2010,million No,,Q,
USA,1/1/2009,12/31/2011,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20092011,2011,million No,,Q,
USA,1/1/2010,12/31/2012,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20102012,2012,million No,,Q,
USA,1/1/2011,12/31/2013,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20112013,2013,million No,,Q,
USA,1/1/2012,12/31/2014,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20122014,2014,million No,,Q,
USA,1/1/2013,12/31/2015,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20132015,2015,million No,,Q,
USA,1/1/2014,12/31/2016,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20142016,2016,million No,,Q,
USA,1/1/2015,12/31/2017,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20152017,2017,million No,,Q,
USA,1/1/2016,12/31/2018,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20162018,2018,million No,,Q,
USA,1/1/2017,12/31/2019,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20172019,2019,million No,,Q,
USA,1/1/2018,12/31/2020,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20182020,2020,million No,,Q,
USA,1/1/2019,12/31/2021,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20192021,2021,million No,,Q,
USA,1/1/2020,12/31/2022,231,'840,United States of America,210011,Number of people undernourished (million) (3-year average),6132,Value,20202022,2022,million No,,Q,
USA,1/1/2014,12/31/2016,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20142016,2016,%,1.1,A,Official estimate
USA,1/1/2015,12/31/2017,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20152017,2017,%,1,A,Official estimate
USA,1/1/2016,12/31/2018,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20162018,2018,%,0.9,A,Official estimate
USA,1/1/2017,12/31/2019,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20172019,2019,%,0.8,A,Official estimate
USA,1/1/2018,12/31/2020,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20182020,2020,%,0.8,A,Official estimate
USA,1/1/2019,12/31/2021,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20192021,2021,%,0.7,A,Official estimate
USA,1/1/2020,12/31/2022,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),6121,Value,20202022,2022,%,0.7,A,Official estimate
USA,1/1/2014,12/31/2016,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20142016,2016,%,1,A,Official estimate
USA,1/1/2015,12/31/2017,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20152017,2017,%,0.9,A,Official estimate
USA,1/1/2016,12/31/2018,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20162018,2018,%,0.8,A,Official estimate
USA,1/1/2017,12/31/2019,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20172019,2019,%,0.7,A,Official estimate
USA,1/1/2018,12/31/2020,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20182020,2020,%,0.7,A,Official estimate
USA,1/1/2019,12/31/2021,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20192021,2021,%,0.7,A,Official estimate
USA,1/1/2020,12/31/2022,231,'840,United States of America,210401,Prevalence of severe food insecurity in the total population (percent) (3-year average),61211,Confidence interval: Lower bound,20202022,2022,%,0.6,A,Official estimate
